File name;Item name;Price
r14234792719_691192.jpg;1 E000 EOLn ZERO;1,79
r14234792719_691192.jpg;Emba11age berekend;0,25
r14234792719_691192.jpg;1 BULLETJE B. BESCHUIT;1,27
r14234792719_691192.jpg;1 LRSSIE ROERB.RIJST;1,75
r14234792719_691192.jpg;1 BRUS HELKEH. HUUSSE;1,45
r14234792719_691192.jpg;1 CHIO KETTLE Sw.CHILL;1,19
r14234792719_691192.jpg;1 URNILLEVUEHURT;0,79
r14234792719_691192.jpg;1PTIMEL FRnMBO0S;1,7
r14234792719_691192.jpg;12 HHLFU. MELKL;1,13
r14234792719_691192.jpg;2B ALUMINIUMFULIE;3,33
r14234792719_691192.jpg;1B UERSHOUDF.3-IN-1;0,85
r14234792719_691192.jpg;1 URNILLE ULOL;0,59
r14234792719_691192.jpg;1 MAENER ST.0UEN H0220;2,29
r14234792719_691192.jpg;1 PIZZO RISTURANTE TON;2,35
r14234792719_691192.jpg;1 DE RUIJTER URUCHTENH;0,93
r14234792719_691192.jpg;1 THIJSJE HRGEL MELK;1,49
r14234792719_691192.jpg;2 BUEREN BRUIN.09;2,18
r14234983257_674096.jpg;PRNCE max;1,72
r14234983257_674096.jpg;aoL Bescnm;1,55
r14234983257_674096.jpg;can CHIPS;1,19
r14234983257_674096.jpg;ROLO;1,34
r14234983257_674096.jpg;T OT AAL;7,59
r14234983257_674096.jpg;PINNEN;7,59
r14234983257_674096.jpg;TERJG;0,00
r14234983257_674096.jpg;6. OX;0,43
r14234983257_674096.jpg;TOTAAL;0,43
r14235866842_670139.jpg;0 t i d;7,4
r14235866842_670139.jpg;CHIO KC SEA SALT;1,10
r14235866842_670139.jpg;LASSIE RBRIJSF RIS.;1,60
r14235866842_670139.jpg;BOLLETJE BOERKNBPSCH;1,25
r14235866842_670139.jpg;SUBIOIAAL;4,13
r14235866842_670139.jpg;MAESTRO;4,13
r14235866842_670139.jpg;WISSELGELD;0,00
r14239119969_707797.jpg;BOL BESCHUIT;1,55
r14239119969_707797.jpg;SUBTOTAAL;1,55
r14239119969_707797.jpg;TOT AAL;1,55
r14239119969_707797.jpg;TOTAAL;1,55
r14239119969_707797.jpg;VH nkeX;2,307159
r14239119969_707797.jpg;PINNEN;1,55
r14239119969_707797.jpg;TERUG;0,00
r14239119969_707797.jpg;TOTML;0,09
r14240148328_695144.jpg;41-Ann-.n4r;5,15
r14240195397_520963.jpg;3 ALKMAAR TEL2;2,5125044
r14240195397_520963.jpg;BESCHUIT;1,31
r14240195397_520963.jpg;CHIO CHIPS;1,19
r14240195397_520963.jpg;ROLO;1,34
r14240195397_520963.jpg;RBAK RISOTTO;1,79
r14240195397_520963.jpg;CCOLA ZERO;1,83
r14240195397_520963.jpg;0STATIE FLES;0,25
r14240195397_520963.jpg;SUBTOTAAL;7,71
r14240195397_520963.jpg;10C010lXIXl.;7,771
r14240195397_520963.jpg;Pasnrz;0,7
r14240195397_520963.jpg;PINNEN;7,71
r14240195397_520963.jpg;TERUG;0,00
r14240195397_520963.jpg;Lkx;0,00
